INFO:root:Parameters: s_cones_init=12.285714285714286 m_cones_init=726.5263157894738, max_probability=10.0, grid_size=45, Variance: 307.5182339969585
INFO:root:Parameters: s_cones_init=12.285714285714286 m_cones_init=774.8947368421053, max_probability=0.01, grid_size=45, Variance: 3338.600720491578
INFO:root:Parameters: s_cones_init=12.285714285714286 m_cones_init=774.8947368421053, max_probability=2.5075, grid_size=45, Variance: 127.70444508260269
INFO:root:Parameters: s_cones_init=12.285714285714286 m_cones_init=774.8947368421053, max_probability=5.005, grid_size=45, Variance: 1.237628137033009e+27
INFO:root:Parameters: s_cones_init=12.285714285714286 m_cones_init=774.8947368421053, max_probability=7.5024999999999995, grid_size=45, Variance: 171.42346496848364
INFO:root:Parameters: s_cones_init=12.285714285714286 m_cones_init=774.8947368421053, max_probability=10.0, grid_size=45, Variance: 191.38742262466133
INFO:root:Parameters: s_cones_init=12.285714285714286 m_cones_init=823.2631578947369, max_probability=0.01, grid_size=45, Variance: 80.55976899914971
INFO:root:Parameters: s_cones_init=12.285714285714286 m_cones_init=823.2631578947369, max_probability=2.5075, grid_size=45, Variance: 40958.73697659423
INFO:root:Parameters: s_cones_init=12.285714285714286 m_cones_init=823.2631578947369, max_probability=5.005, grid_size=45, Variance: 9923.521207343209
INFO:root:Parameters: s_cones_init=12.285714285714286 m_cones_init=823.2631578947369, max_probability=7.5024999999999995, grid_size=45, Variance: 1.0331873269052974e+30
INFO:root:Parameters: s_cones_init=12.285714285714286 m_cones_init=823.2631578947369, max_probability=10.0, grid_size=45, Variance: 10643.537539387577
INFO:root:Parameters: s_cones_init=12.285714285714286 m_cones_init=871.6315789473684, max_probability=0.01, grid_size=45, Variance: 9169.798191962736
INFO:root:Parameters: s_cones_init=12.285714285714286 m_cones_init=871.6315789473684, max_probability=2.5075, grid_size=45, Variance: 5199.410862345473
INFO:root:Parameters: s_cones_init=12.285714285714286 m_cones_init=871.6315789473684, max_probability=5.005, grid_size=45, Variance: 9.350915600888403e+29
INFO:root:Parameters: s_cones_init=12.285714285714286 m_cones_init=871.6315789473684, max_probability=7.5024999999999995, grid_size=45, Variance: 510.21643618403886
INFO:root:Parameters: s_cones_init=12.285714285714286 m_cones_init=871.6315789473684, max_probability=10.0, grid_size=45, Variance: 200.32640293245072
INFO:root:Parameters: s_cones_init=12.285714285714286 m_cones_init=920.0, max_probability=0.01, grid_size=45, Variance: 1414.4259815229443
INFO:root:Parameters: s_cones_init=12.285714285714286 m_cones_init=920.0, max_probability=2.5075, grid_size=45, Variance: 1597.8010128072451
INFO:root:Parameters: s_cones_init=12.285714285714286 m_cones_init=920.0, max_probability=5.005, grid_size=45, Variance: 277.7395119557894
INFO:root:Parameters: s_cones_init=12.285714285714286 m_cones_init=920.0, max_probability=7.5024999999999995, grid_size=45, Variance: 10742.896236207973
INFO:root:Parameters: s_cones_init=12.285714285714286 m_cones_init=920.0, max_probability=10.0, grid_size=45, Variance: 241.667466113246
INFO:root:Parameters: s_cones_init=23.571428571428573 m_cones_init=1.0, max_probability=0.01, grid_size=45, Variance: 5455.169557865193
INFO:root:Parameters: s_cones_init=23.571428571428573 m_cones_init=1.0, max_probability=2.5075, grid_size=45, Variance: 7187.780574176127
