INFO:root:Parameters: birth_rate=0.7 a=250.0, m=3.334222222222222 c=9.0, init_mode=random, grid_size=45, Variance: 488.1869015329356
INFO:root:Parameters: birth_rate=0.7 a=250.0, m=3.334222222222222 c=17.0, init_mode=random, grid_size=45, Variance: 402.4713176720896
INFO:root:Parameters: birth_rate=0.7 a=250.0, m=3.334222222222222 c=25.0, init_mode=random, grid_size=45, Variance: 320.2627493371789
INFO:root:Parameters: birth_rate=0.7 a=250.0, m=6.6674444444444445 c=1.0, init_mode=random, grid_size=45, Variance: 8475.154680531654
INFO:root:Parameters: birth_rate=0.7 a=250.0, m=6.6674444444444445 c=9.0, init_mode=random, grid_size=45, Variance: 4106.805279107803
INFO:root:Parameters: birth_rate=0.7 a=250.0, m=6.6674444444444445 c=17.0, init_mode=random, grid_size=45, Variance: 787.4562630505209
INFO:root:Parameters: birth_rate=0.7 a=250.0, m=6.6674444444444445 c=25.0, init_mode=random, grid_size=45, Variance: 2310.5692507400386
INFO:root:Parameters: birth_rate=0.7 a=250.0, m=10.000666666666666 c=1.0, init_mode=random, grid_size=45, Variance: 197.25209637295106
INFO:root:Parameters: birth_rate=0.7 a=250.0, m=10.000666666666666 c=9.0, init_mode=random, grid_size=45, Variance: 170.28143978544992
INFO:root:Parameters: birth_rate=0.7 a=250.0, m=10.000666666666666 c=17.0, init_mode=random, grid_size=45, Variance: 2848.3710705981607
INFO:root:Parameters: birth_rate=0.7 a=250.0, m=10.000666666666666 c=25.0, init_mode=random, grid_size=45, Variance: 1358.7519979260799
INFO:root:Parameters: birth_rate=0.7 a=250.0, m=13.333888888888888 c=1.0, init_mode=random, grid_size=45, Variance: 931.0378369666976
INFO:root:Parameters: birth_rate=0.7 a=250.0, m=13.333888888888888 c=9.0, init_mode=random, grid_size=45, Variance: 892.7603536076293
INFO:root:Parameters: birth_rate=0.7 a=250.0, m=13.333888888888888 c=17.0, init_mode=random, grid_size=45, Variance: 1216.3398245832436
INFO:root:Parameters: birth_rate=0.7 a=250.0, m=13.333888888888888 c=25.0, init_mode=random, grid_size=45, Variance: 6711.814868587072
INFO:root:Parameters: birth_rate=0.7 a=250.0, m=16.66711111111111 c=1.0, init_mode=random, grid_size=45, Variance: 1167.5426276916712
INFO:root:Parameters: birth_rate=0.7 a=250.0, m=16.66711111111111 c=9.0, init_mode=random, grid_size=45, Variance: 916.0813195420168
INFO:root:Parameters: birth_rate=0.7 a=250.0, m=16.66711111111111 c=17.0, init_mode=random, grid_size=45, Variance: 136.85594454475626
INFO:root:Parameters: birth_rate=0.7 a=250.0, m=16.66711111111111 c=25.0, init_mode=random, grid_size=45, Variance: 2.50670599025368e+30
INFO:root:Parameters: birth_rate=0.7 a=250.0, m=20.000333333333334 c=1.0, init_mode=random, grid_size=45, Variance: 3388.9063560660247
INFO:root:Parameters: birth_rate=0.7 a=250.0, m=20.000333333333334 c=9.0, init_mode=random, grid_size=45, Variance: 433.66656178812553
INFO:root:Parameters: birth_rate=0.7 a=250.0, m=20.000333333333334 c=17.0, init_mode=random, grid_size=45, Variance: 2.5497087052093844e+30
INFO:root:Parameters: birth_rate=0.7 a=250.0, m=20.000333333333334 c=25.0, init_mode=random, grid_size=45, Variance: 137.33327711734077
INFO:root:Parameters: birth_rate=0.7 a=250.0, m=23.333555555555556 c=1.0, init_mode=random, grid_size=45, Variance: 996.6272775041833
INFO:root:Parameters: birth_rate=0.7 a=250.0, m=23.333555555555556 c=9.0, init_mode=random, grid_size=45, Variance: 849.7693388699082
INFO:root:Parameters: birth_rate=0.7 a=250.0, m=23.333555555555556 c=17.0, init_mode=random, grid_size=45, Variance: 4.8912935810850784e+29
INFO:root:Parameters: birth_rate=0.7 a=250.0, m=23.333555555555556 c=25.0, init_mode=random, grid_size=45, Variance: 768.923758617156
INFO:root:Parameters: birth_rate=0.7 a=250.0, m=26.666777777777778 c=1.0, init_mode=random, grid_size=45, Variance: 1123.7962062370661
INFO:root:Parameters: birth_rate=0.7 a=250.0, m=26.666777777777778 c=9.0, init_mode=random, grid_size=45, Variance: 1.6835236146606126e+30
